Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category,Category2
Other(s):,0.0312320691245795,3.1,0.0342022659001158,3.1,61.0,2019,MiscTech,Programming
Pandas,0.083784300709922,8.4,0.0999628725403058,8.4,62.0,2019,MiscTech,MiscTech
Puppet,0.0175174105284475,1.8,0.0249429024672884,1.8,80.0,2019,MiscTech,Platforms
ReactNative,0.0690008213044114,6.9,0.1642721330288131,6.9,52.0,2019,MiscTech,MiscTech
TensorFlow,0.0676057288795382,6.8,0.2014333449591035,6.8,58.0,2019,MiscTech,MiscTech
Torch/PyTorch,0.0216239325855337,2.2,0.0718022568995195,2.2,60.0,2019,MiscTech,MiscTech
Unity3D,0.0745586895131802,7.5,0.1252320466230888,7.5,46.0,2019,MiscTech,Platforms
UnrealEngine,0.0231202817186638,2.3,0.0718585106263289,2.3,47.0,2019,MiscTech,Platforms
Xamarin,0.0428653398287636,4.3,0.0675157229166432,4.3,50.0,2019,MiscTech,Platforms
ASP.NET,0.1878761967980378,18.8,0.1518288086585736,18.8,58.0,2019,Webframe,Webframe
Angular/Angular.js,0.2197495584082445,22.0,0.2207621254908137,22.0,53.0,2019,Webframe,Webframe
Django,0.0928073984901499,9.3,0.1277859658202356,9.3,50.0,2019,Webframe,Webframe
Drupal,0.024695386069327,2.5,0.0173036463665717,2.5,50.0,2019,Webframe,Webframe
Express,0.1408818334214641,14.1,0.1360440129158557,14.1,55.0,2019,Webframe,Webframe
Flask,0.0865632348143064,8.7,0.0918398343890282,8.7,61.0,2019,Webframe,Webframe
Laravel,0.075143728271998,7.5,0.0735348716852491,7.5,30.0,2019,Webframe,Webframe
Other(s):,0.0591451683674043,5.9,0.0558937029578209,5.9,60.0,2019,Webframe,Programming
